id,name
Q6165705,Victor Ramón Fuentes Fiallo,botanist (1949-2013),+1949-03-06T00:00:00Z,+2013-12-03T00:00:00Z
Q91125,Karl Suessenguth,German botanist and university teacher (1893-1955),+1893-06-22T00:00:00Z,+1955-04-07T00:00:00Z
Q516614,Bracha L. Ettinger,"Israeli artist, painter, photographer, theorist and psychoanalyst",+1948-03-23T00:00:00Z,
Q107875471,Zanobio Ceffino,,+1499-00-00T00:00:00Z,
Q2893277,Silvio Frondizi,Argentine politician,+1907-01-19T00:00:00Z,+1974-09-27T00:00:00Z
Q17563163,Luis Ramón Martínez,Dominican humorist,+1964-08-14T00:00:00Z,
Q6459223,Ivan Tsvikyevich,Belarusian physician and intellectual (1891-1938),+1891-01-01T00:00:00Z,+1938-07-01T00:00:00Z
Q110183543,Alexander Stern,"Austrian writer, photographer, gardener,  caricaturist",+1894-01-01T00:00:00Z,+1970-01-01T00:00:00Z
Q4088436,Donald Frederick Blaxell,Australian botanist (1934- ),+1934-02-01T00:00:00Z,
Q6097032,Rafael Barrionuevo González,,+1973-00-00T00:00:00Z,+2010-00-00T00:00:00Z
Q115986,Melchiorre Gioia,Italian economist and philosopher (1767-1829),+1767-09-20T00:00:00Z,+1829-01-02T00:00:00Z
Q681601,Leo the Mathematician,"Byzantine philosopher, mathematician and logician",+0790-00-00T00:00:00Z,+0900-00-00T00:00:00Z
Q3398653,Josep Maria Junoy,Spanish journalist and writer (1887-1955),+1887-12-10T00:00:00Z,+1955-05-03T00:00:00Z
Q3175047,Jean Villemot,French caricaturist,+1880-06-22T00:00:00Z,+1958-03-11T00:00:00Z
Q94939405,Albert Heim,German caricaturist (1890–1960),+1890-00-00T00:00:00Z,+1960-00-00T00:00:00Z
Q1405442,Ferdinand Jakob Schmidt,German philosopher and educationist (1860-1939),+1860-12-20T00:00:00Z,+1939-03-04T00:00:00Z
Q19631055,Marcel Noblot,French painter,+1880-00-00T00:00:00Z,+1935-08-10T00:00:00Z
Q9288062,Henryk Derwich,,+1921-10-23T00:00:00Z,+1983-10-13T00:00:00Z
Q379752,Leonardo Boff,Brazilian theologian,+1938-12-14T00:00:00Z,
Q112514977,Gino Galli,,+1925-00-00T00:00:00Z,
Q116168,Johann Rudolf Wyss,Swiss writer (1782-1830),+1782-03-04T00:00:00Z,+1830-03-21T00:00:00Z
Q95148686,Miloslav Endler,,+1936-11-30T00:00:00Z,
Q335495,Ismail Gaspıralı,Crimean Tatar intellectual and politician (1851-1914),+1851-03-08T00:00:00Z,+1914-09-11T00:00:00Z
Q16299954,Jarmo Koivunen,,+1938-12-22T00:00:00Z,+2023-04-17T00:00:00Z
Q9028877,Maria Leonor de Sousa Gonçalves,"Portuguese botanist, taxonomist (1934-2004)",+1934-10-05T00:00:00Z,+2004-05-00T00:00:00Z
Q6085721,Kemal Gökhan Gürses,Turkish caricaturist,+1964-01-01T00:00:00Z,
Q94370,Viktor Stern,Czech publicist (1885-1958),+1885-10-29T00:00:00Z,+1958-03-27T00:00:00Z
Q277838,Rudolf Battěk,"Czech member of Czech National Council, politician, essayist, philosopher and sociologist (1924-2013)",+1924-11-02T00:00:00Z,+2013-03-17T00:00:00Z
Q100680,Christoph Türcke,German philosopher,+1948-01-01T00:00:00Z,
Q431081,Louis Gruyer,Belgian philosopher (1778-1866),+1778-11-15T00:00:00Z,+1866-10-15T00:00:00Z
Q112371354,Ed Fischer,,+1927-00-00T00:00:00Z,
Q15973728,Benoît Blary,French caricaturist,+1981-00-00T00:00:00Z,
Q3264654,Lubna of Cordoba,Al-Ándalus slave and intellectual,+0987-00-00T00:00:00Z,+0984-00-00T00:00:00Z
Q15233526,Béla Radnai,"Hungarian sculptor, teacher",+1873-05-23T00:00:00Z,+1923-11-21T00:00:00Z
Q106964392,Domenico Antonio Grillo,,,
Q89432407,Cecilia Ramos,,+1980-00-00T00:00:00Z,
Q893632,Boris Buden,Austrian author and translator,+1958-01-01T00:00:00Z,
Q3290286,Marcus Meibomius,"Danish classical scholar, music theorist, mathematican and bibliocarian",+1630-01-01T00:00:00Z,+1710-02-15T00:00:00Z
Q323107,Patrick Suppes,philosopher from United States of America,+1922-03-17T00:00:00Z,+2014-11-17T00:00:00Z
Q19698106,Jacky Chevaux,French painter and engraver,+1943-09-14T00:00:00Z,+1995-07-07T00:00:00Z
Q5611564,Grover Simcox,American illustrator,+1867-01-01T00:00:00Z,+1966-01-01T00:00:00Z
Q106635726,A. C. Hay,taxonomist,,
Q95364974,František Roleček,,+1913-11-12T00:00:00Z,+2000-01-01T00:00:00Z
Q123300649,Louis-Auguster Meynier Saint-Fal,,+1782-00-00T00:00:00Z,+1860-04-24T00:00:00Z
Q7944418,Ignacy Witz,Polish painter (1919-1971),+1919-03-20T00:00:00Z,+1971-07-09T00:00:00Z
Q31094127,József Haui,,+1952-09-10T00:00:00Z,
Q94888341,David Wilson,Irish illustrator,+1873-00-00T00:00:00Z,+1935-00-00T00:00:00Z
Q197286,Zhang Sanfeng,Chinese martial artist,+1200-01-01T00:00:00Z,+1301-01-01T00:00:00Z
Q118430926,W.F. Bladergroen,,,
Q99585836,Olivier Pirnay,,+1981-01-01T00:00:00Z,
Q12763412,Božena Plocháňová,Slovak illustrator and cartoonist (1929-2020),+1929-01-02T00:00:00Z,+2020-08-11T00:00:00Z
Q29865070,Sergey Elkin,russian cartoonist,+1962-05-26T00:00:00Z,
Q94907516,André Viriéz,,+1900-00-00T00:00:00Z,+2000-00-00T00:00:00Z
Q1322848,Ekkehard Martens,German philosopher,+1943-11-02T00:00:00Z,
Q4245051,Pobisk Kuznetsov,,+1924-05-18T00:00:00Z,+2000-12-04T00:00:00Z
Q113367143,Iñaki Aginaga Beristain,,+1929-01-29T00:00:00Z,+2021-05-31T00:00:00Z
Q1120095,Gusztáv Kovács,Hungarian teacher,+1980-03-13T00:00:00Z,
Q106382408,Marion Elise Buegler,entomologist affiliated with the University of San Francisco,+1951-00-00T00:00:00Z,
Q6334978,Manuel Bomfim,"Brazilian physician, educationist, intellectual, psychologist and historian",+1868-08-08T00:00:00Z,+1932-04-21T00:00:00Z
Q1544410,Ludger Schwarte,German philosopher,+1967-12-29T00:00:00Z,
Q110854,Jakob Schegk,German physician and philosopher (1511 – 1587),+1511-06-06T00:00:00Z,+1587-05-09T00:00:00Z
Q1972359,Régis Loisel,French comics writer,+1951-12-04T00:00:00Z,
Q5712092,Aurora Chirinos Pizarro,,+1925-09-15T00:00:00Z,
Q1185798,Chao Cuo,Chinese political advisor,-0200-01-01T00:00:00Z,-0154-00-00T00:00:00Z
Q313509,Bernard-Henri Lévy,French film director and philosopher,+1948-11-05T00:00:00Z,
Q123772,Adolf Portmann,Swiss zoologist (1897-1982),+1897-05-27T00:00:00Z,+1982-06-28T00:00:00Z
Q111291715,Mario Picchi,,+1929-04-22T00:00:00Z,+2011-09-19T00:00:00Z
Q55229420,Isaac J. Barrera,(1884-1970),+1884-02-04T00:00:00Z,+1970-06-29T00:00:00Z
Q17515989,Daniel Perea,Spanish draughtsperson and painter,+1834-01-01T00:00:00Z,+1909-04-01T00:00:00Z
Q112555606,Karel Urban,,+1975-10-00T00:00:00Z,
Q1080928,Christian Ludwig Seebaß,German university teacher (1754-1806),+1754-05-23T00:00:00Z,+1806-10-16T00:00:00Z
Q20418165,Ali El Huyerini,Saudi Arabian actor,+1945-05-19T00:00:00Z,+2022-01-13T00:00:00Z
Q5300442,Doug Dye,New Zealand microbiologist (1921–2005),+1921-07-12T00:00:00Z,+2005-12-18T00:00:00Z
Q16633003,Göte Göransson,Swedish illustrator,+1921-03-01T00:00:00Z,+2015-03-08T00:00:00Z
Q215479,Johann Schweigger,"German chemist, physicist, and professor",+1779-04-08T00:00:00Z,+1857-09-06T00:00:00Z
Q967356,Richard Swineshead,British mathematician and philosopher,,+1354-00-00T00:00:00Z
Q2895970,Constant Martha,French philologist (1820-1895),+1820-06-04T00:00:00Z,+1895-05-30T00:00:00Z
Q29420610,Erik Obermann,Estonian artist (1890-1911),+1890-01-27T00:00:00Z,+1911-02-12T00:00:00Z
Q107127518,Uncyclo-tan,satirical mascot character who parodies Wikipe-tan,,
Q202001,Archytas,"4th-century BC Greek philosopher, mathematician, astronomer and statesman",-0428-00-00T00:00:00Z,-0347-00-00T00:00:00Z
Q2319701,Ahmad Lutfi al-Sayyid,Egyptian academic and politician (1872-1963),+1872-01-15T00:00:00Z,+1963-03-05T00:00:00Z
Q920976,Michel Marcel Navratil,"French philosopher and professor, Titanic survivor",+1908-06-12T00:00:00Z,+2001-01-30T00:00:00Z
Q131671,Xenophanes,Greek Pre-Socratic philosopher (c.570–c.478 BC),-0560-00-00T00:00:00Z,-0478-00-00T00:00:00Z
Q6248940,John Minnion,British artist,+1949-08-13T00:00:00Z,
Q59533776,Nicholas Wadley,"born:1935|died:2017-11-00|; Wadley, Nicholas (1935-2017).; Wadley, Nick",+1935-01-01T00:00:00Z,+2017-11-01T00:00:00Z
Q6214384,Joey Green,American writer,+1958-05-26T00:00:00Z,
Q164797,Paulo Freire,Brazilian educator and philosopher (1921–1997),+1921-09-19T00:00:00Z,+1997-05-02T00:00:00Z
Q64859033,John E. Frith,cartoonist for the Bulletin (1906-2000),+1906-04-16T00:00:00Z,+2000-09-21T00:00:00Z
Q552862,Philiscus of Aegina,ancient Greek philosopher,-0350-00-00T00:00:00Z,-0400-00-00T00:00:00Z
Q5726670,Soheil Daneshraqi,Iranian comic artist,,
Q3318787,Mohamed Salah Ben Mrad,"Tunisian intellectual, journalist and theologian",+1881-01-01T00:00:00Z,+1979-02-06T00:00:00Z
Q90866,Max Hoelz,German politician,+1889-10-14T00:00:00Z,+1933-09-15T00:00:00Z
Q16298040,Gerardo Calero,Colombian actor,+1955-11-12T00:00:00Z,
Q95137562,Jiří Vaněk,,+1939-03-30T00:00:00Z,
Q110268499,Muntadher Saleh,Iraqi Polymath,+1999-02-13T00:00:00Z,
Q6454305,Kāterina Mataira,"New Zealand Māori language advocate, artist and writer",+1932-11-13T00:00:00Z,+2011-07-16T00:00:00Z
Q94835396,Archibald Chasemore,,+1844-00-00T00:00:00Z,+1905-00-00T00:00:00Z
Q12496128,Mahyuddin Datuk Sutan Maharadja,Indonesian journalist and intellectual (1860-1921),+1858-00-00T00:00:00Z,+1921-06-00T00:00:00Z
Q1357821,Ernst Deecke,German librarian (1805-1862),+1805-10-01T00:00:00Z,+1862-04-24T00:00:00Z
Q1081211,Pavao Ritter Vitezović,"Croatian writer, historian, linguist, cartographer and publisher (1652-1713)",+1652-01-12T00:00:00Z,+1713-01-20T00:00:00Z
Q88644598,Wolfgang Hicks,,+1909-01-01T00:00:00Z,+1983-01-01T00:00:00Z
Q6539107,Li Sizhong,ichthyologist,+1921-02-19T00:00:00Z,+2009-01-11T00:00:00Z
Q365209,Konstantinos Tsatsos,"Greek politician ,former president of the Hellenic Republic",+1899-07-01T00:00:00Z,+1987-10-08T00:00:00Z
Q73035503,Hindrich Hasenberger,,+1600-00-00T00:00:00Z,+1600-00-00T00:00:00Z
Q10986114,Muhammad Imara,Egyptian Islamic scholar,+1931-12-08T00:00:00Z,+2020-02-28T00:00:00Z
Q319578,Sri Chinmoy,Indian writer and spiritual teacher (1931-2007),+1931-08-27T00:00:00Z,+2007-10-11T00:00:00Z
Q950635,Pierre Lévy,French philosopher,+1956-01-01T00:00:00Z,
Q1403685,Felix Mussil,German caricaturist,+1921-01-09T00:00:00Z,+2013-02-08T00:00:00Z
Q326684,Johann Heynlin,German humanist,+1430-01-01T00:00:00Z,+1496-03-12T00:00:00Z
Q1173121,Dave Berg,cartoonist (1920-2002),+1920-06-12T00:00:00Z,+2002-05-17T00:00:00Z
Q9388443,Zbigniew Ziomecki,Polish illustrator (1930-2015),+1930-02-19T00:00:00Z,+2015-06-03T00:00:00Z
Q1423663,Yajnavalkya,One of the Great Sages of Vedic India,-0800-00-00T00:00:00Z,-0700-00-00T00:00:00Z
Q266481,Cláudio Hummes,Catholic cardinal,+1934-08-08T00:00:00Z,+2022-07-04T00:00:00Z
Q119589,Ludwig Noiré,German philosopher,+1829-03-26T00:00:00Z,+1889-03-27T00:00:00Z
Q61111385,Bernhard Pärni,,+1908-09-27T00:00:00Z,+1998-09-18T00:00:00Z
Q50807702,Philippe Decressac,,+1968-05-21T00:00:00Z,
Q4500523,Ricardo Rendón,Colombian illustrator,+1894-06-11T00:00:00Z,+1931-10-28T00:00:00Z
Q7322201,Cik Li,Malaysian cartoonist,,
Q3334715,Nabil el-Fayadh,researcher,+1955-04-19T00:00:00Z,+2022-08-21T00:00:00Z
Q2615445,Joseph Droz,"French philosopher, historian, moralist (1773-1850)",+1773-10-31T00:00:00Z,+1850-11-09T00:00:00Z
Q112380269,Martin Fuchs,,+1928-00-00T00:00:00Z,
Q30309015,Latif Fetani,,+1983-01-01T00:00:00Z,
Q5105664,Chris (Simpsons artist),British artist (born 1983),+1983-07-17T00:00:00Z,
Q67323,Jakob Thomasius,German philosopher (1622-1684),+1622-08-27T00:00:00Z,+1684-09-09T00:00:00Z
Q94617093,Zoltán Forrai,,+1901-10-20T00:00:00Z,+1996-00-00T00:00:00Z
Q63120016,Aldo Sessa,Argentine photographer,+1939-01-01T00:00:00Z,
Q17187189,Corrado Sofia,Italian journalist and screenwriter (1906-1997),+1906-09-22T00:00:00Z,+1997-07-20T00:00:00Z
Q1539819,Gottlieb Leuchtenberger,German teacher,+1839-12-14T00:00:00Z,+1914-05-04T00:00:00Z
Q7105879,Oscar Berger,cartoonist,+1901-05-12T00:00:00Z,+1997-05-15T00:00:00Z
Q42294318,Ruszkay György,,+1924-07-27T00:00:00Z,+1998-07-27T00:00:00Z
Q976204,Ivan Blecha,Czech philosopher and university educator,+1957-08-01T00:00:00Z,
Q114356947,Ursel,jester,,
Q12642739,Stevo Šinik,Croatian caricaturist,+1963-08-13T00:00:00Z,
Q316674,Louis Gabriel Ambroise de Bonald,French philosopher (1754-1840),+1754-10-02T00:00:00Z,+1840-11-23T00:00:00Z
Q310173,Ammonius Saccas,Hellenistic Platonist philosopher (175-242),+0175-00-00T00:00:00Z,+0242-00-00T00:00:00Z
Q23063030,Ole Jensen,German draughtsperson and caricaturist (1924-1977),+1924-10-09T00:00:00Z,+1977-07-20T00:00:00Z
Q79151,Othmar Spann,Austrian philosopher (1878-1950),+1878-10-01T00:00:00Z,+1950-07-08T00:00:00Z
Q67444448,Francisco Bazán,Spanish jester,,
Q3143159,Humayun Abdulali,"naturalist, ornithologist, wildlife conservationist, taxonomist, biologist",+1914-05-19T00:00:00Z,+2001-06-03T00:00:00Z
Q10310867,José do Canto,Portuugese landowner and intellectual,+1820-12-20T00:00:00Z,+1898-07-10T00:00:00Z
Q113916877,Nikolaos Katsouros,Greek painter and caricaturist 1905-1990,+1905-00-00T00:00:00Z,+1990-01-20T00:00:00Z
Q100755226,Alfred Auger,"Belgian priest, historian and moralist",+1865-02-27T00:00:00Z,+1905-01-13T00:00:00Z
Q41568,Michel de Montaigne,"French author, philosopher, and statesman (1533–1592)",+1533-02-28T00:00:00Z,+1592-09-12T00:00:00Z
Q23061148,Senpan Maekawa,Japanese painter,+1888-10-05T00:00:00Z,+1960-11-17T00:00:00Z
Q2544632,Walter Hanel,German cartoonist,+1930-09-14T00:00:00Z,
Q50347371,Andrey Prévost,French painter and caricaturist,+1890-00-00T00:00:00Z,+1961-01-01T00:00:00Z
Q29981703,Heinrich Mühlhäusser,"Taxonomist, fl. 1984",,
Q720939,Lysis of Taras,ancient Greek philosopher,-0500-00-00T00:00:00Z,-0347-00-00T00:00:00Z
Q15948,Émile Durkheim,French sociologist,+1858-04-15T00:00:00Z,+1917-11-15T00:00:00Z
Q29420104,Karl Jürgens,Estonian caricaturist,+1892-01-05T00:00:00Z,+1981-08-25T00:00:00Z
Q112542638,Rudolf Kristian,,+1911-09-16T00:00:00Z,+1938-00-00T00:00:00Z
Q1378948,Manuel Gómez Morín,Mexican politician (1897-1972),+1897-02-27T00:00:00Z,+1972-04-19T00:00:00Z
Q23597455,Ramón Escaler,,+1862-00-00T00:00:00Z,+1893-00-00T00:00:00Z
Q296047,Sam Harris,"American author, philosopher and neuroscientist",+1967-04-09T00:00:00Z,
Q112385246,Michal Jedinák,,+1975-00-00T00:00:00Z,
Q108057285,عبد الكريم نيازي,,+1936-09-16T00:00:00Z,+2000-12-01T00:00:00Z
Q123089,Benjamin Constant,"Swiss-born French politician, writer on politics and religion (1767-1830)",+1767-10-25T00:00:00Z,+1830-12-08T00:00:00Z
Q329249,Evan Thompson,Canadian philosopher,+1962-00-00T00:00:00Z,
Q12400503,Siro López Lorenzo,,+1943-01-19T00:00:00Z,
Q1168956,Jodocus Trutfetter,German university teacher (1460-1519),+1460-01-01T00:00:00Z,+1519-05-09T00:00:00Z
Q3327482,Gonzalo Fernández de la Mora,Member of the constituent Congress of Deputies,+1924-01-01T00:00:00Z,+2002-02-10T00:00:00Z
Q19959427,Otto Fikentscher,"German artist, draughtsperson, illustrator and caricaturist",+1831-02-28T00:00:00Z,+1880-11-11T00:00:00Z
Q3388782,Pino Zac,artist from Italy (1930-1985),+1930-04-23T00:00:00Z,+1985-08-25T00:00:00Z
Q11909074,Vladimír Renčín,Czech humorist and cartoonist,+1941-12-06T00:00:00Z,+2017-10-04T00:00:00Z
Q123344757,Herbert Böhnke,German graphic artist,+1930-05-27T00:00:00Z,+1980-03-07T00:00:00Z
Q15945354,Renzo Pecchenino,Chilean caricaturist (1934-1988),+1934-05-29T00:00:00Z,+1988-02-07T00:00:00Z
Q115820,Hyacinthe Sigismond Gerdil,Italian cardinal (1718-1802),+1718-06-23T00:00:00Z,+1802-08-12T00:00:00Z
Q43173968,Josef Heřman,,+1900-07-11T00:00:00Z,+1956-10-17T00:00:00Z
Q20310374,Klementina Požgaj,,+1896-00-00T00:00:00Z,+1982-05-25T00:00:00Z
Q1345191,Philippe Van Parijs,"Belgian professor, philosopher and economist",+1951-05-23T00:00:00Z,
Q365950,Cleobulus of Lindos,ancient philosopher,-0630-00-00T00:00:00Z,-0560-00-00T00:00:00Z
Q1239701,Don Marquis,American philosopher,+1935-01-01T00:00:00Z,+2022-00-00T00:00:00Z
Q98733516,Mathurine de Vallois,French jester,+1589-00-00T00:00:00Z,+1627-00-00T00:00:00Z
Q3774929,Izzat Darwaza,Palestinian politician and historian (1888–1984),+1888-06-21T00:00:00Z,+1984-07-26T00:00:00Z
Q20426611,Melani Budianta,Indonesian literature expert and lecturer,+1954-05-16T00:00:00Z,
Q29033561,Luis Peña Basurto,researcher,+1909-00-00T00:00:00Z,+1990-11-03T00:00:00Z
Q6787890,Yoel Buchwald,Israeli painter (1920-1997),+1920-00-00T00:00:00Z,+1997-02-05T00:00:00Z
Q11685164,John Cobra,"Mario Vaquero Garcés AKA John Cobra is an Spanish rapper and actor known for his famous song ""Carol""",+1978-02-11T00:00:00Z,
Q89485946,Wajih Fanous,"Lebanese literary critic, academic and researcher (1948–2022)",+1948-04-21T00:00:00Z,+2022-07-13T00:00:00Z
Q11040931,Jaan Vahtra,"Estonian artist, writer, journalist (1882-1947)",+1882-05-23T00:00:00Z,+1947-01-27T00:00:00Z
Q52154046,Benjamin Priolo,,+1602-01-01T00:00:00Z,+1667-01-01T00:00:00Z
Q779472,Desider Aszlányi,"Hungarian journalist, poet, and philosopher.",+1869-04-08T00:00:00Z,+1947-07-24T00:00:00Z
Q5957072,Ehsan Ganji,Iranian cartoonist,,
Q529858,Giovanni Papini,Italian writer,+1881-01-09T00:00:00Z,+1956-07-08T00:00:00Z
Q95250257,Harald Juch,,+1950-00-00T00:00:00Z,
Q61453,Kurd Lasswitz,"German author, scientist and philosopher",+1848-04-20T00:00:00Z,+1910-10-17T00:00:00Z
Q2419675,Edward Frederick Kraus,U.S. herpetologist and zoologist,+1959-01-01T00:00:00Z,
Q6264376,John Williams,"English poet, satirist, caricaturist, journalist and miscellaneous writer",+1761-01-01T00:00:00Z,+1818-01-01T00:00:00Z
Q89667,Friedrich Bachmayer,Austrian paleontologist (1913—1989),+1913-09-10T00:00:00Z,+1989-07-25T00:00:00Z
Q16613047,Teodoro Pellegrino,,+1908-09-10T00:00:00Z,+1985-04-10T00:00:00Z
Q1320496,Thrasymachus of Corinth,4th-century BC Greek philosopher,,
Q12629650,Davor Štambuk,Croatian caricaturist (1934-2018),+1934-12-29T00:00:00Z,+2018-03-07T00:00:00Z
Q56823674,Muhammad al-Nur,northern Sudanese intellectual and jurist,,+1809-00-00T00:00:00Z
Q92078694,Luciano Ramo,,+1886-12-19T00:00:00Z,+1959-06-26T00:00:00Z
Q112493423,Tode Blaževski,,+1948-00-00T00:00:00Z,
Q95471454,Zdenka Mašková-Landová,,+1895-09-09T00:00:00Z,+1977-01-05T00:00:00Z
Q21522523,Jennifer S. Page,American botanist and taxonomist,+1949-01-01T00:00:00Z,
Q324637,Kariel Gardosh,Hungarian born Israeli cartoonist and illustrator (1921-2000),+1921-04-15T00:00:00Z,+2000-02-28T00:00:00Z
Q15972359,Winifred Brenchley,British botanist (1883-1953),+1883-08-10T00:00:00Z,+1953-10-27T00:00:00Z
Q28379734,Alvaro Pruneda,Mexican journalist and caricaturist,+1874-11-19T00:00:00Z,+1916-11-19T00:00:00Z
Q55852128,Semmi Hertz,,+1805-01-01T00:00:00Z,+1862-01-01T00:00:00Z
Q700506,Raphael Kirchner,"Art Nouveau and pin-up artist, portraitist (1875-1917)",+1875-05-05T00:00:00Z,+1917-08-02T00:00:00Z
Q18402364,Jean Barbaud,French illustrator,+1955-09-02T00:00:00Z,
Q381710,Symeon the New Theologian,"Christian saint, monk, and theologian",+0949-01-01T00:00:00Z,+1022-03-12T00:00:00Z
Q169243,Protagoras,Pre-Socratic Greek philosopher (c.490–c.420 BC),-0486-00-00T00:00:00Z,-0420-00-00T00:00:00Z
Q41773328,Tillie Walden,American cartoonist,+1996-05-04T00:00:00Z,
Q108300,Fritz Stein,"German conductor, philosopher and musicologist (1879-1961)",+1879-12-17T00:00:00Z,+1961-11-14T00:00:00Z
Q243757,A. J. Ayer,English philosopher,+1910-10-29T00:00:00Z,+1989-06-27T00:00:00Z
Q5654748,Abbad Ben Sarhán,,+1071-00-00T00:00:00Z,+1148-00-00T00:00:00Z
Q47528393,Pedro Eguillor,,+1877-00-00T00:00:00Z,+1937-01-04T00:00:00Z
Q1319217,Méric Casaubon,French-English classical scholar (1599–1671),+1599-08-14T00:00:00Z,+1671-07-14T00:00:00Z
Q22107489,David A. Barraclough,South African entomologist,+1958-00-00T00:00:00Z,
Q16402961,August Jansen,Estonian painter (1881-1957),+1881-10-06T00:00:00Z,+1957-01-23T00:00:00Z
Q61110449,Andres G. Adamson,caricaturist,+1963-01-01T00:00:00Z,
Q12238140,Ersan Majid Al-Kilani,,+1932-00-00T00:00:00Z,+2015-10-24T00:00:00Z
Q112475536,Pavel Kotyza,,+1965-00-00T00:00:00Z,
Q5639297,Haim Kantorovitch,American socialist,+1890-01-01T00:00:00Z,+1936-01-01T00:00:00Z
Q1391321,Jayachamarajendra Wadiyar,writer and twenty-fifth Maharaja of Mysore (1919-1974),+1919-07-18T00:00:00Z,+1974-09-23T00:00:00Z
Q112534572,Philippe Masson,,+1965-00-00T00:00:00Z,
Q93786608,Abdullah Turhan,,+1933-10-01T00:00:00Z,+2020-03-02T00:00:00Z
Q20528486,Mehis Born,,+1967-01-01T00:00:00Z,
Q1174693,David Hawkins,American philosopher of science (1913-2002),+1913-02-28T00:00:00Z,+2002-02-24T00:00:00Z
Q95151901,Josef Fitti Jiroušek,,+1954-08-21T00:00:00Z,
Q95361804,Oldřich Crhounek,,+1900-09-06T00:00:00Z,+1973-05-09T00:00:00Z
Q1521770,Marianus Brockie,Scottish Benedictine monk,+1687-01-01T00:00:00Z,+1755-12-02T00:00:00Z
Q214321,Jan Christiaan Smuts,South African statesman and military leader (1870–1950),+1870-05-24T00:00:00Z,+1950-09-11T00:00:00Z
Q12359789,Arvo Ratassepp,Estonian conductor and composer,+1926-03-17T00:00:00Z,+1986-12-22T00:00:00Z
Q451634,Wilfrid Hodges,British mathematician,+1941-05-27T00:00:00Z,
Q22668357,Miriam Wurster,deutsche Karikaturistin,+1964-00-00T00:00:00Z,
Q337373,Olaf Stapledon,British novelist and philosopher,+1886-05-10T00:00:00Z,+1950-09-06T00:00:00Z
Q1290,Blaise Pascal,"French mathematician, physicist, inventor, writer, and Christian philosopher (1623–1662)",+1623-06-19T00:00:00Z,+1662-08-19T00:00:00Z
Q451771,Amadeo de Souza Cardoso,Portuguese artist (1887-1918),+1887-11-14T00:00:00Z,+1918-10-25T00:00:00Z
Q524840,Joseph Lakanal,French politician (1762-1845),+1762-07-14T00:00:00Z,+1845-02-14T00:00:00Z
Q2343709,Stephan Pastis,American cartoonist,+1968-01-16T00:00:00Z,
Q120606656,Daniel Kenney,,,
Q112494124,Joe Lee,,+1953-00-00T00:00:00Z,
Q28913837,Alba Yánez-Ayabaca,Lichenologist from Brazil,,
Q20919774,Václav Kabát,Czech painter,+1932-04-08T00:00:00Z,
Q16262814,Gabriel Saadé,Syrian intellectual (1922-1997),+1922-11-00T00:00:00Z,+1997-00-00T00:00:00Z
Q42888886,Richard Kivit,,+1888-03-12T00:00:00Z,+1981-03-11T00:00:00Z
Q90257415,Frédéric Front,French drawer,+1874-03-01T00:00:00Z,+1962-05-03T00:00:00Z
Q85113700,Bambang Tri Rahadian,,+1975-00-00T00:00:00Z,
Q179097,Bernard Ardura,"French priest, church historian, theologian and author",+1948-09-01T00:00:00Z,
Q9352663,Szymon Kobyliński,,+1927-05-22T00:00:00Z,+2002-04-15T00:00:00Z
Q7708732,Tha Hla,Botonist (1916-2002),+1916-00-00T00:00:00Z,+2002-00-00T00:00:00Z
Q75778,Joseph Weizenbaum,German-American computer scientist noted for his opposition to excessive dependence on computers and to delegating genuinely human choices to them,+1923-01-08T00:00:00Z,+2008-03-05T00:00:00Z
Q5816,Mao Zedong,Chairman of the Chinese Communist Party & founding father of the People's Republic of China (1893–1976),+1893-12-26T00:00:00Z,+1976-09-09T00:00:00Z
Q123027723,Antonio Manuel,Andalusian intellectual and committed teacher,+1968-12-15T00:00:00Z,
Q123361116,Neville Borg,Times of Malta fact checker and journalist,,
Q166876,Isidore of Seville,"Hispano-Roman scholar, theologian and bishop (c. 560–636)",+0560-00-00T00:00:00Z,+0636-04-04T00:00:00Z
Q6206566,Joaquín Xaudaró,Spanish comics artist,+1872-08-17T00:00:00Z,+1933-04-01T00:00:00Z
Q1400621,Louis de Sacy,French writer,+1654-01-01T00:00:00Z,+1727-10-26T00:00:00Z
Q239131,Evelyn Fox Keller,"American physicist, author and feminist",+1936-03-20T00:00:00Z,+2023-09-22T00:00:00Z
Q3610658,K. Śrī Dhammānanda,Sri Lankan Buddhist monk,+1919-03-18T00:00:00Z,+2006-08-31T00:00:00Z
Q6144605,James Vance,writer,+1953-04-02T00:00:00Z,+2017-06-05T00:00:00Z
Q108899533,Antonio D'Ambrosio,Italian intellectual (1901-1965),+1901-01-01T00:00:00Z,+1965-01-00T00:00:00Z
Q113232975,Michel Samanos,"French painter, etcher and illustrator",+1876-01-04T00:00:00Z,+1924-08-06T00:00:00Z
Q103982859,Antonio Corner,,,+1501-00-00T00:00:00Z
Q112503912,Tanitoc,,+1969-00-00T00:00:00Z,
Q56823422,Ben Kies,"South African Coloured intellectual, teacher, community lawyer, and radical political activist",+1919-12-12T00:00:00Z,+1979-00-00T00:00:00Z
Q12025255,Jiří Kalousek,Czech illustrator and artist (1925-1986),+1925-02-07T00:00:00Z,+1986-02-23T00:00:00Z
Q120606912,Dave Walker,,,
Q126507,Ferid Muhić,Macedonian philosopher,+1944-01-01T00:00:00Z,
Q6047062,Yiğit Özgür,Turkish caricaturist,+1977-00-00T00:00:00Z,
