start_node,edge_type,end_node
Q695534,taught,Q1541
Q184169,taught,Q44272
Q868,influenced,Q448
Q9061,influenced,Q44272
Q859,influenced,Q123382
Q179759,influenced,Q9438
Q165792,influenced,Q60025
Q7243,influenced,Q484141
Q9235,influenced,Q152388
Q9235,influenced,Q34787
Q9312,influenced,Q71029
Q183372,influenced,Q184226
Q36303,influenced,Q42458
Q355245,influenced,Q7243
Q131149,influenced,Q7243
Q7322195,influenced,Q937
Q77148,influenced,Q438839
Q9215,influenced,Q184226
Q46420,influenced,Q43347
Q58586,influenced,Q71029
Q9061,influenced,Q184226
Q9235,influenced,Q9358
Q868,influenced,Q9047
Q859,influenced,Q38193
Q192315,influenced,Q9047
Q334147,influenced,Q438839
Q58586,influenced,Q212639
Q1290,influenced,Q140694
Q18999,taught,Q1430
Q42458,influenced,Q48301
Q9235,influenced,Q9364
Q43216,influenced,Q35802
Q19008,influenced,Q9204
Q48301,taught,Q2939300
Q9235,influenced,Q449538
Q41568,influenced,Q1290
Q179126,influenced,Q1001
Q9235,influenced,Q81244
Q76857,taught,Q191095
Q187520,influenced,Q184226
Q9381,influenced,Q34787
Q579194,taught,Q715169
Q297079,influenced,Q76688
Q140694,influenced,Q60025
Q13230,influenced,Q130631
Q37160,influenced,Q33760
Q60070,taught,Q9235
Q160362,taught,Q2955937
Q60028,influenced,Q33760
Q19074,taught,Q186123
Q44272,influenced,Q130631
Q78497,influenced,Q242616
Q35802,influenced,Q314189
Q102851,influenced,Q9438
Q9387,influenced,Q438839
Q10261,influenced,Q297040
Q73527,taught,Q211411
Q9391,influenced,Q130631
Q123382,taught,Q471041
Q5752,influenced,Q79969
Q125551,taught,Q132157
Q169906,influenced,Q2318969
Q75814,taught,Q191095
Q131149,influenced,Q8027
Q48301,influenced,Q34670
Q9061,influenced,Q310341
Q83003,influenced,Q184169
Q6353,taught,Q201484
Q9364,influenced,Q7197
Q66732,influenced,Q729048
Q1067,influenced,Q9204
Q37621,influenced,Q35802
Q868,influenced,Q8011
Q42458,taught,Q10261
Q220313,taught,Q381211
Q160270,influenced,Q34787
Q60887,taught,Q50020
Q131805,influenced,Q47667
Q35802,influenced,Q310341
Q6694,influenced,Q131149
Q37388,influenced,Q35802
Q41155,influenced,Q859
Q859,influenced,Q130631
Q868,influenced,Q229646
Q326459,influenced,Q334147
Q127398,influenced,Q9438
Q5879,influenced,Q61078
Q33760,taught,Q9391
Q404023,taught,Q441590
Q43347,influenced,Q471041
Q48226,influenced,Q9358
Q5879,influenced,Q38193
Q179126,influenced,Q445939
Q1290,influenced,Q9068
Q57112,influenced,Q438839
Q35802,influenced,Q3312923
Q1541,influenced,Q43499
Q212639,influenced,Q156268
Q868,influenced,Q39837
Q913,influenced,Q60025
Q185832,influenced,Q41513
Q9061,influenced,Q2939300
Q868,influenced,Q235470
Q183372,taught,Q33760
Q11826,influenced,Q8011
Q2897678,influenced,Q322922
Q9047,influenced,Q33760
Q9391,influenced,Q295012
Q125551,influenced,Q868
Q58586,taught,Q76749
Q81244,taught,Q78497
Q9364,influenced,Q201538
Q9061,influenced,Q212639
Q179266,influenced,Q354867
Q991,influenced,Q27645
Q36330,influenced,Q9047
Q41568,influenced,Q48226
Q9353,influenced,Q9312
Q192207,taught,Q3635215
Q34943,influenced,Q11903
Q22670,influenced,Q991
Q9358,influenced,Q484141
Q868,influenced,Q165792
Q868,influenced,Q34943
Q180081,influenced,Q131149
Q9235,influenced,Q503017
Q935,influenced,Q37160
Q913,taught,Q859
Q12718,influenced,Q9358
Q935,influenced,Q364975
Q183372,taught,Q9317
Q44272,influenced,Q201538
Q868,influenced,Q127398
Q60030,influenced,Q306514
Q9235,influenced,Q48226
Q9438,influenced,Q229646
Q9353,influenced,Q82049
Q43216,influenced,Q9358
Q43939,influenced,Q9438
Q41155,influenced,Q34787
Q859,influenced,Q334147
Q41155,influenced,Q48301
Q9391,taught,Q229646
Q60104,influenced,Q2318969
Q868,influenced,Q156268
Q991,influenced,Q9358
Q868,influenced,Q619
Q57280,influenced,Q9358
Q715169,taught,Q41568
Q48226,influenced,Q131149
Q82934,influenced,Q5749
Q41155,influenced,Q9358
Q868,influenced,Q1067
Q935,taught,Q452091
Q868,taught,Q2955937
Q9312,influenced,Q168004
Q1290,influenced,Q9358
Q39837,influenced,Q9438
Q60070,influenced,Q6694
Q859,influenced,Q9047
Q34787,influenced,Q83003
Q7243,influenced,Q1001
Q5879,influenced,Q1035
Q297079,influenced,Q21062238
Q358561,influenced,Q8027
Q35802,influenced,Q9312
Q38193,influenced,Q937
Q9387,influenced,Q160640
Q9312,influenced,Q991
Q125551,influenced,Q35802
Q48301,influenced,Q169906
Q657941,taught,Q8778
Q41532,influenced,Q354867
Q9061,influenced,Q27645
Q302835,influenced,Q619
Q322922,taught,Q503017
Q9047,influenced,Q168004
Q295386,influenced,Q33760
Q61078,influenced,Q152388
Q131149,influenced,Q1001
Q8778,influenced,Q8011
Q6527,influenced,Q5749
Q34943,influenced,Q1067
Q9546,influenced,Q39837
Q125551,influenced,Q859
Q22670,influenced,Q5879
Q5879,influenced,Q484141
Q1393417,taught,Q169234
Q1234536,taught,Q925732
Q41568,influenced,Q9312
Q77888,influenced,Q331853
Q37160,influenced,Q184226
Q154959,influenced,Q37621
Q1189157,taught,Q43216
Q48226,influenced,Q79969
Q144535,influenced,Q1035
Q35802,influenced,Q180819
Q43939,influenced,Q9235
Q84233,taught,Q297079
Q486945,taught,Q2054
Q60104,influenced,Q9358
Q2353373,influenced,Q1001
Q9312,influenced,Q60025
Q5749,influenced,Q27645
Q229646,taught,Q445939
Q179785,taught,Q5264
Q9358,influenced,Q503017
Q9235,influenced,Q130631
Q82934,taught,Q12718
Q183372,influenced,Q104461
Q991,influenced,Q132524
Q5879,influenced,Q168004
Q131671,influenced,Q35802
Q991,influenced,Q314189
Q58586,influenced,Q60025
Q131805,influenced,Q192207
Q35802,influenced,Q937
Q42458,taught,Q80612
Q5879,influenced,Q78484
Q184169,influenced,Q130631
Q48301,influenced,Q9364
Q9333,influenced,Q334147
Q404023,taught,Q248578
Q1290,influenced,Q314189
Q8018,influenced,Q102851
Q9312,influenced,Q9235
Q311879,taught,Q1271013
Q8018,influenced,Q1290
Q9358,influenced,Q79969
Q177847,influenced,Q9068
Q46830,taught,Q47434
Q11826,influenced,Q35900
Q184226,influenced,Q310341
Q35802,influenced,Q448
Q190089,influenced,Q48301
Q5749,influenced,Q7243
Q48301,taught,Q60025
Q48301,influenced,Q44272
Q160460,influenced,Q4115511
Q9215,influenced,Q44272
Q9364,influenced,Q156268
Q191095,taught,Q331853
Q935,influenced,Q9312
Q37388,influenced,Q37621
Q82049,influenced,Q187520
Q9358,influenced,Q34670
Q41568,influenced,Q9358
Q859,influenced,Q868
Q334147,influenced,Q41590
Q35802,influenced,Q168004
Q41155,influenced,Q125551
Q4604,influenced,Q9068
Q171969,influenced,Q5715809
Q125551,influenced,Q48301
Q1394,influenced,Q438839
Q134189,influenced,Q314189
Q309854,influenced,Q334147
Q35802,influenced,Q9047
Q859,influenced,Q731904
Q180967,influenced,Q123382
Q60104,influenced,Q358561
Q44272,influenced,Q156268
Q37160,influenced,Q310791
Q9235,influenced,Q484141
Q82778,influenced,Q364975
Q9391,influenced,Q156268
Q355245,influenced,Q937
Q125551,influenced,Q9358
Q619,influenced,Q36330
Q134189,influenced,Q11903
Q46420,influenced,Q123382
Q1035,influenced,Q184366
Q9312,influenced,Q38193
Q1541,influenced,Q165792
Q2010955,influenced,Q471041
Q191734,influenced,Q184500
Q9554,influenced,Q314189
Q229264,influenced,Q1035
Q185832,influenced,Q48226
Q9312,influenced,Q160640
Q134189,influenced,Q9235
Q60028,influenced,Q9391
Q12718,taught,Q981459
Q9353,influenced,Q165792
Q9061,influenced,Q60025
Q190089,influenced,Q184226
Q935,influenced,Q937
Q172599,influenced,Q9358
Q75814,taught,Q58586
Q9391,influenced,Q33760
Q183126,taught,Q47478
Q9391,influenced,Q354867
Q9235,influenced,Q438839
Q9358,influenced,Q130631
Q780789,influenced,Q2054
Q314189,influenced,Q34670
Q9353,influenced,Q38193
Q57112,influenced,Q334147
Q214969,influenced,Q298521
Q130631,influenced,Q353754
Q9047,influenced,Q156268
Q9215,influenced,Q503017
Q913,taught,Q189506
Q868,influenced,Q102851
Q127398,influenced,Q9047
Q868,influenced,Q160460
Q10261,influenced,Q859
Q9061,influenced,Q1394
Q9047,influenced,Q75814
Q43347,influenced,Q484141
Q9438,influenced,Q48301
Q191734,influenced,Q189564
Q35802,influenced,Q9235
Q193660,influenced,Q36330
Q57497,influenced,Q58586
Q868,influenced,Q272615
Q8018,influenced,Q184500
Q58586,influenced,Q130631
Q9312,influenced,Q445939
Q183372,taught,Q215022
Q48301,influenced,Q2939300
Q75814,taught,Q76857
Q39837,influenced,Q36330
Q132489,influenced,Q235470
Q154959,influenced,Q9353
Q7197,influenced,Q34670
Q60070,influenced,Q503017
Q193871,influenced,Q354867
Q859,influenced,Q9068
Q160460,influenced,Q11362
Q9068,influenced,Q5879
Q34787,influenced,Q1394
Q9061,influenced,Q61078
Q13230,influenced,Q169906
Q12735,influenced,Q9047
Q2010955,taught,Q400887
Q123382,influenced,Q471041
Q484141,influenced,Q2066255
Q125551,influenced,Q132157
Q131671,influenced,Q41155
Q76420,influenced,Q33760
Q46420,influenced,Q2010955
Q868,taught,Q160362
Q126462,influenced,Q101638
Q192207,taught,Q3342897
Q183167,influenced,Q9204
Q5879,influenced,Q57112
Q42458,influenced,Q10261
Q165792,influenced,Q183167
Q140694,influenced,Q160640
Q9358,influenced,Q334147
Q1035,influenced,Q44461
Q35802,influenced,Q38193
Q113951,influenced,Q76688
Q58586,taught,Q48301
Q9387,influenced,Q76849
Q9235,influenced,Q1394
Q484141,influenced,Q3348646
Q217771,taught,Q434266
Q60028,influenced,Q58586
Q33760,influenced,Q9391
Q165792,influenced,Q445939
Q991,influenced,Q7243
Q43939,influenced,Q9047
Q937,influenced,Q310765
Q937,influenced,Q81244
Q37160,influenced,Q937
Q6527,influenced,Q27645
Q913,influenced,Q868
Q991,influenced,Q937
Q131149,influenced,Q79969
Q37621,influenced,Q9353
Q193660,influenced,Q9047
Q313666,influenced,Q334147
Q182905,influenced,Q1394
Q9358,influenced,Q438839
Q216072,taught,Q152919
Q859,influenced,Q60070
Q5264,influenced,Q8011
Q463723,influenced,Q4245051
Q9438,influenced,Q132524
Q868,influenced,Q9204
Q9441,influenced,Q7243
Q183167,influenced,Q1001
Q73527,taught,Q43182
Q184169,taught,Q130631
Q48301,influenced,Q2318969
Q76586,influenced,Q5715809
Q9215,influenced,Q130631
Q60025,influenced,Q3312923
Q9061,influenced,Q130631
Q48226,influenced,Q125249
Q42458,influenced,Q868
Q160460,influenced,Q8011
Q6527,influenced,Q7243
Q11362,influenced,Q39837
Q193871,influenced,Q322922
Q131805,influenced,Q231690
Q35802,influenced,Q33760
Q550629,influenced,Q4245051
Q9364,influenced,Q184226
Q9047,influenced,Q60070
Q33760,influenced,Q44461
Q6527,influenced,Q9358
Q102851,influenced,Q1067
Q1394,influenced,Q83003
Q868,influenced,Q35802
Q34943,influenced,Q619
Q868,influenced,Q11104
Q1290,influenced,Q9047
Q48301,influenced,Q215258
Q160460,influenced,Q39837
Q37621,influenced,Q9047
Q312551,influenced,Q231690
Q9391,influenced,Q229646
Q132524,influenced,Q937697
Q47434,influenced,Q364975
Q7251,influenced,Q298521
Q5264,influenced,Q868
Q311485,influenced,Q10261
Q1541,influenced,Q5749
Q44272,influenced,Q184226
Q11362,influenced,Q127398
Q163087,influenced,Q184980
Q8011,influenced,Q471041
Q84233,influenced,Q21062238
Q320042,taught,Q667385
Q27645,influenced,Q79969
Q125249,influenced,Q158060
Q132157,influenced,Q868
Q859,influenced,Q160460
Q1394,influenced,Q184169
Q60024,taught,Q125249
Q134189,influenced,Q9047
Q160460,influenced,Q127398
Q9235,influenced,Q9061
Q113951,influenced,Q788572
Q9312,influenced,Q184226
Q9235,influenced,Q445939
Q8018,influenced,Q9438
Q311879,taught,Q1430
Q913,influenced,Q859
Q37160,influenced,Q298521
Q77148,influenced,Q21062238
Q561367,taught,Q1541
Q859,influenced,Q39837
Q9049,influenced,Q212730
Q47154,influenced,Q36330
Q44272,influenced,Q310341
Q125249,taught,Q988129
Q113951,influenced,Q21062238
Q9438,taught,Q676267
Q48301,taught,Q65108
Q41155,influenced,Q9235
Q9047,influenced,Q184226
Q36303,taught,Q42458
Q41513,influenced,Q9204
Q131805,taught,Q47667
Q170472,influenced,Q189564
Q58586,taught,Q2939300
Q243787,influenced,Q123382
Q84233,taught,Q1325
Q39837,influenced,Q127398
Q9312,influenced,Q731904
Q130631,influenced,Q2318969
Q8011,influenced,Q39837
Q134189,influenced,Q8011
Q868,influenced,Q7243
Q8018,influenced,Q60025
Q9061,influenced,Q5749
Q36330,influenced,Q35802
Q868,influenced,Q48301
Q9068,influenced,Q9358
Q9358,influenced,Q345641
Q82049,influenced,Q37160
Q320042,taught,Q1541
Q61078,influenced,Q60025
Q184500,influenced,Q9438
Q140694,influenced,Q449538
Q190089,influenced,Q9047
Q859,influenced,Q48226
Q9235,influenced,Q334147
Q157309,influenced,Q7060
Q297079,taught,Q76688
Q868,influenced,Q484141
Q368519,influenced,Q9204
Q9312,influenced,Q172544
Q868,influenced,Q9358
Q81244,taught,Q184980
Q991,influenced,Q34670
Q169234,influenced,Q8011
Q9215,taught,Q41532
Q8027,influenced,Q259507
Q37160,influenced,Q38193
Q44272,taught,Q130631
Q529858,influenced,Q41590
Q48301,influenced,Q60025
Q179759,influenced,Q8011
Q33760,influenced,Q243757
Q868,influenced,Q579194
Q46420,taught,Q770298
Q134189,influenced,Q39837
Q9312,influenced,Q123190
Q859,influenced,Q9204
Q780789,taught,Q2054
Q8011,influenced,Q127398
Q4604,taught,Q8193981
Q868,influenced,Q81244
Q1271013,taught,Q3625041
Q60024,taught,Q75814
Q43499,influenced,Q579194
Q5749,influenced,Q5752
Q913,influenced,Q9358
Q57497,taught,Q61151
Q48301,influenced,Q503017
Q859,taught,Q160362
Q50020,influenced,Q235470
Q868,influenced,Q9438
Q9353,influenced,Q172544
