start_node,edge_type,end_node
Q20851517,P570,+1995-10-28T00:00:00Z
Q20851517,P569,+1907-06-15T00:00:00Z
Q12735556,P569,+1978-04-16T00:00:00Z
Q19758988,P569,+1925-00-00T00:00:00Z
Q19758988,P570,+2015-01-24T00:00:00Z
Q83041,P570,-0428-00-00T00:00:00Z
Q83041,P569,-0500-00-00T00:00:00Z
Q1322680,P569,+1915-10-12T00:00:00Z
Q1322680,P570,+2015-10-09T00:00:00Z
Q112498697,P569,+1994-00-00T00:00:00Z
Q708521,P569,+1858-11-06T00:00:00Z
Q708521,P570,+1909-02-25T00:00:00Z
Q75284,P569,+1883-04-01T00:00:00Z
Q75284,P570,+1953-11-29T00:00:00Z
Q454349,P569,+1561-12-16T00:00:00Z
Q454349,P570,+1610-07-17T00:00:00Z
Q50376918,P569,+1904-07-15T00:00:00Z
Q50376918,P570,+1987-03-06T00:00:00Z
Q498971,P569,+1553-01-01T00:00:00Z
Q498971,P570,+1600-06-08T00:00:00Z
Q461640,P570,+1500-01-01T00:00:00Z
Q461640,P569,+1201-00-00T00:00:00Z
Q96761808,P569,+1952-03-19T00:00:00Z
Q4977687,P569,+1789-01-03T00:00:00Z
Q4977687,P570,+1875-11-18T00:00:00Z
Q176935,P569,+1797-01-01T00:00:00Z
Q176935,P570,+1859-01-01T00:00:00Z
Q17024750,P569,+1927-00-00T00:00:00Z
Q95678,P569,+1663-01-01T00:00:00Z
Q95678,P570,+1727-01-01T00:00:00Z
Q5051890,P569,+1749-12-09T00:00:00Z
Q5051890,P570,+1825-12-21T00:00:00Z
Q2847848,P569,+1901-05-25T00:00:00Z
Q2847848,P570,+1968-09-02T00:00:00Z
Q26737,P569,+1908-04-24T00:00:00Z
Q26737,P570,+1963-01-23T00:00:00Z
Q52673135,P570,+1985-04-24T00:00:00Z
Q52673135,P569,+1921-08-09T00:00:00Z
Q112474161,P569,+1985-00-00T00:00:00Z
Q71316,P569,+1578-01-01T00:00:00Z
Q71316,P570,+1639-08-20T00:00:00Z
Q22977921,P570,+1967-07-23T00:00:00Z
Q22977921,P569,+1879-06-28T00:00:00Z
Q380652,P569,+1469-00-00T00:00:00Z
Q380652,P570,+1532-11-12T00:00:00Z
Q6053861,P569,+1965-01-01T00:00:00Z
Q20644222,P569,+1954-01-01T00:00:00Z
Q24053887,P569,+1936-00-00T00:00:00Z
Q24053887,P570,+2021-08-18T00:00:00Z
Q20048076,P569,+1972-01-15T00:00:00Z
Q92340440,P569,+1887-00-00T00:00:00Z
Q92340440,P570,+1941-00-00T00:00:00Z
Q606558,P569,+1589-12-20T00:00:00Z
Q606558,P570,+1660-11-12T00:00:00Z
Q112439399,P569,+1949-00-00T00:00:00Z
Q95072304,P570,+1952-01-27T00:00:00Z
Q95072304,P569,+1882-06-29T00:00:00Z
Q3381012,P570,+1956-08-07T00:00:00Z
Q3381012,P569,+1865-05-28T00:00:00Z
Q1687291,P569,+1943-12-26T00:00:00Z
Q93082,P569,+1922-01-01T00:00:00Z
Q93082,P570,+1985-05-14T00:00:00Z
Q441537,P569,+1795-09-06T00:00:00Z
Q441537,P570,+1852-12-13T00:00:00Z
Q17280310,P569,+1871-03-02T00:00:00Z
Q17280310,P570,+1904-03-08T00:00:00Z
Q94897929,P569,+1921-02-28T00:00:00Z
Q94897929,P570,+1988-01-26T00:00:00Z
Q2521796,P569,+1911-08-11T00:00:00Z
Q2521796,P570,+1995-02-19T00:00:00Z
Q28149898,P569,+1852-07-21T00:00:00Z
Q28149898,P570,+1900-00-00T00:00:00Z
Q12249592,P570,+1998-09-27T00:00:00Z
Q12249592,P569,+1933-00-00T00:00:00Z
Q18819142,P569,+1916-01-01T00:00:00Z
Q18819142,P570,+1981-01-01T00:00:00Z
Q110928799,P569,+1974-00-00T00:00:00Z
Q21537863,P569,+1879-03-15T00:00:00Z
Q21537863,P570,+1914-01-01T00:00:00Z
Q6059257,P570,+2016-03-21T00:00:00Z
Q6059257,P569,+1943-12-06T00:00:00Z
Q2586726,P569,+1900-02-27T00:00:00Z
Q2586726,P570,+1973-07-24T00:00:00Z
Q50413960,P569,+1912-09-20T00:00:00Z
Q50413960,P570,+1988-10-14T00:00:00Z
Q15686434,P569,+1973-04-02T00:00:00Z
Q381452,P569,+1925-01-01T00:00:00Z
Q381452,P570,+2021-03-06T00:00:00Z
Q45258,P569,+1931-02-16T00:00:00Z
Q45258,P570,+2020-05-29T00:00:00Z
Q372883,P569,+1960-01-01T00:00:00Z
Q1901352,P569,+1928-05-16T00:00:00Z
Q95152350,P569,+1926-06-29T00:00:00Z
Q95152350,P570,+2003-01-01T00:00:00Z
Q731699,P569,+1949-08-01T00:00:00Z
Q713642,P569,+1917-08-25T00:00:00Z
Q713642,P570,+1981-12-12T00:00:00Z
Q1622359,P569,+1900-00-00T00:00:00Z
Q3189095,P569,+1945-05-29T00:00:00Z
Q237095,P569,+1607-11-15T00:00:00Z
Q237095,P570,+1701-06-02T00:00:00Z
Q611233,P569,+1735-06-23T00:00:00Z
Q611233,P570,+1820-03-24T00:00:00Z
Q16492108,P569,+1910-11-11T00:00:00Z
Q16492108,P570,+1996-12-11T00:00:00Z
Q1356390,P569,+1840-10-30T00:00:00Z
Q1356390,P570,+1910-04-12T00:00:00Z
Q76353,P569,+1765-08-22T00:00:00Z
Q76353,P570,+1812-07-10T00:00:00Z
Q56825509,P569,+1889-00-00T00:00:00Z
Q56825509,P570,+1978-00-00T00:00:00Z
Q909884,P569,+1873-10-24T00:00:00Z
Q909884,P570,+1956-03-24T00:00:00Z
Q1423151,P569,+1899-05-11T00:00:00Z
Q1423151,P570,+1973-05-14T00:00:00Z
Q73014,P569,+1625-12-16T00:00:00Z
Q73014,P570,+1699-03-21T00:00:00Z
Q71029,P569,+1885-11-09T00:00:00Z
Q71029,P570,+1955-12-08T00:00:00Z
