Q36330,Giordano Bruno,"Italian Dominican friar, philosopher and mathematician (1548–1600)",+1548-01-01T00:00:00Z,+1600-02-17T00:00:00Z,https://en.wikipedia.org/wiki/Giordano_Bruno
Q158060,W. E. B. Du Bois,American sociologist and activist (1868–1963),+1868-02-23T00:00:00Z,+1963-08-27T00:00:00Z,https://en.wikipedia.org/wiki/W._E._B._Du_Bois
Q2636293,Nikolay Strakhov,Russian philosopher,+1828-10-16T00:00:00Z,+1896-01-24T00:00:00Z,https://en.wikipedia.org/wiki/Nikolay_Strakhov
Q981459,Pierre Laffitte,French philosopher,+1823-02-21T00:00:00Z,+1903-01-04T00:00:00Z,https://en.wikipedia.org/wiki/Pierre_Laffitte
Q22670,Friedrich Schiller,"German poet, philosopher, historian and playwright (1759–1805)",+1759-11-10T00:00:00Z,+1805-05-09T00:00:00Z,https://en.wikipedia.org/wiki/Friedrich_Schiller
Q187520,Charles Sanders Peirce,"American philosopher, logician, mathematician, and scientist (1839-1914)",+1839-09-10T00:00:00Z,+1914-04-19T00:00:00Z,https://en.wikipedia.org/wiki/Charles_Sanders_Peirce
Q179785,Gorgias,Greek presocratic philosopher and sophist (483–375 BC),-0483-00-00T00:00:00Z,-0375-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Gorgias
Q71029,Hermann Weyl,German mathematician,+1885-11-09T00:00:00Z,+1955-12-08T00:00:00Z,https://en.wikipedia.org/wiki/Hermann_Weyl
Q172599,Giacomo Leopardi,"Italian poet, philosopher, and writer (1798-1837)",+1798-06-29T00:00:00Z,+1837-06-14T00:00:00Z,https://en.wikipedia.org/wiki/Giacomo_Leopardi
Q82778,Pliny the Elder,1st-century Roman military commander and writer,+0020-00-00T00:00:00Z,+0079-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Pliny_the_Elder
Q190089,Duns Scotus,Scottish Franciscan friar and philosopher (c. 1265/66–1308),+1265-00-00T00:00:00Z,+1308-11-08T00:00:00Z,https://en.wikipedia.org/wiki/Duns_Scotus
Q4295,Peter Abelard,"French scholastic philosopher, theologian and preeminent logician (c.1079-1142)",+1079-01-01T00:00:00Z,+1142-04-21T00:00:00Z,https://en.wikipedia.org/wiki/Peter_Abelard
