start_node,edge_type,end_node
Q112448846,P106,Q4964182
Q16336033,P106,Q4964182
Q16336033,P27,Q17
Q16336033,P69,Q11524880
Q29838725,P106,Q4964182
Q29838725,P27,Q129286
Q113739321,P101,Q28598
Q113739321,P106,Q135450
Q113739321,P27,Q183
Q11561017,P106,Q4964182
Q11561017,P27,Q17
Q11561017,P69,Q1062129
Q944398,P106,Q4964182
Q944398,P27,Q29999
Q944398,P69,Q221653
Q15972359,P69,Q193196
Q15972359,P106,Q2374149
Q15972359,P27,Q145
Q25348558,P31,Q618779
Q25348558,P101,Q59115
Q25348558,P17,Q45
Q25348558,P138,Q3069468
Q76442,P27,Q157367
Q76442,P106,Q36180
Q76442,P69,Q672420
Q76442,P185,Q16663062
Q76442,P802,Q72076
Q3104047,P27,Q40
Q3104047,P106,Q4964182
Q3104047,P69,Q27265
Q11355001,P69,Q336264
Q11355001,P106,Q4964182
Q11355001,P27,Q17
Q59773471,P106,Q4964182
Q93248349,P106,Q4964182
Q789825,P27,Q28
Q789825,P106,Q3658608
Q789825,P69,Q1186843
Q789825,P101,Q482919
Q112548070,P106,Q121594
Q112548070,P101,Q5891
Q3130630,P27,Q142
Q3130630,P106,Q1622272
Q3130630,P69,Q3064259
Q3130630,P737,Q28495524
Q3130630,P101,Q1733207
Q17411658,P106,Q250867
Q17411658,P27,Q1290149
Q17411658,P69,Q189441
Q214593,P27,Q156199
Q214593,P106,Q1622272
Q214593,P800,Q20088298
Q214593,P101,Q5891
Q1150741,P106,Q3658608
Q504959,P27,Q29
Q504959,P106,Q3658608
Q11272852,P27,Q212
Q11272852,P106,Q36180
Q11272852,P69,Q80207
Q11272852,P101,Q9326077
Q16163956,P106,Q4964182
Q47319278,P27,Q33
Q47319278,P106,Q4964182
Q7380319,P106,Q4964182
Q7380319,P69,Q899030
Q7380319,P27,Q145
Q109853505,P106,Q6673651
Q109853505,P27,Q142
Q213195,P27,Q30
Q213195,P69,Q13371
Q213195,P106,Q212980
Q213195,P101,Q9418
Q213195,P737,Q309765
Q213195,P185,Q1780288
Q213195,P551,Q30
Q213195,P800,Q7716359
Q95461850,P106,Q39631
Q95461850,P27,Q33946
Q2144490,P27,Q142
Q2144490,P106,Q1930187
Q5112963,P69,Q193196
Q5112963,P106,Q4964182
Q5112963,P27,Q145
Q94084470,P106,Q4964182
Q94084470,P27,Q31
Q94084470,P69,Q1137665
Q8994435,P69,Q15570
Q8994435,P106,Q4964182
Q4103197,P106,Q110853168
Q4103197,P27,Q148
Q4103197,P69,Q1604022
Q4103197,P101,Q1138178
Q11818336,P106,Q1930187
Q11818336,P69,Q9379430
Q11818336,P101,Q5891
Q2847279,P69,Q1878600
Q2847279,P27,Q142
Q2847279,P106,Q82955
Q23056107,P106,Q1930187
Q23056107,P27,Q262
Q3350831,P106,Q4964182
Q3350831,P27,Q142
Q3350831,P69,Q83259
Q3350831,P185,Q3174523
Q3350831,P101,Q7081
Q18057600,P106,Q49757
Q18057600,P27,Q142
Q18057600,P69,Q1059546
Q108579091,P106,Q3400985
Q5477750,P27,Q96
Q5477750,P106,Q1028181
Q95361554,P106,Q1028181
Q105427459,P106,Q23760244
Q17413220,P27,Q29
Q17413220,P800,Q52777904
Q17413220,P106,Q333634
Q94821402,P106,Q4964182
Q74576,P27,Q183
Q74576,P106,Q4964182
Q74576,P69,Q152171
Q113760382,P106,Q1238570
Q113760382,P27,Q142
Q113760382,P101,Q113861664
Q27962749,P106,Q12406482
Q27962749,P27,Q16
Q27962749,P69,Q3578120
Q4676851,P50,Q822727
Q4676851,P101,Q5891
Q4676851,P407,Q150
Q4676851,P31,Q47461344
Q4676851,P747,Q60349454
Q110928537,P106,Q4964182
Q110928537,P27,Q184
Q94869933,P106,Q4964182
Q7279134,P106,Q4964182
Q7279134,P27,Q801
Q12777528,P106,Q4964182
Q113838857,P106,Q1238570
Q113838857,P27,Q183
Q112499565,P106,Q4964182
Q112499565,P101,Q5891
Q77947,P27,Q27306
Q77947,P106,Q212980
Q77947,P185,Q32979659
Q77947,P69,Q153978
Q77947,P1066,Q75814
Q65157,P106,Q1930187
Q65157,P27,Q183
Q65157,P135,Q2563535
Q65157,P800,Q2253563
Q95292438,P106,Q4964182
Q55134195,P106,Q4964182
Q11724832,P27,Q36
Q11724832,P101,Q5891
Q11724832,P69,Q348402
Q11724832,P106,Q4964182
Q15438244,P27,Q183
Q15438244,P106,Q185351
Q15438244,P101,Q222249
Q117313706,P27,Q183
Q117313706,P106,Q4964182
Q12378056,P106,Q36180
Q12378056,P27,Q191
Q12378056,P69,Q204181
Q12378056,P101,Q60195
Q113753290,P106,Q5403434
Q614869,P106,Q1086863
Q614869,P69,Q24942576
Q614869,P27,Q29
Q614869,P101,Q309
Q6250072,P69,Q180865
Q6250072,P106,Q4964182
Q6250072,P27,Q16
Q2093567,P27,Q142
Q2093567,P106,Q15296811
Q2093567,P69,Q3577666
Q6893011,P27,Q184536
Q6893011,P106,Q36180
Q93262308,P106,Q185351
Q93262308,P101,Q7748
Q25495696,P106,Q4964182
Q71071,P27,Q183
Q71071,P106,Q36180
Q71071,P101,Q115154807
Q18672432,P69,Q270532
Q18672432,P106,Q4964182
Q192365,P106,Q82955
Q192365,P27,Q12544
Q192365,P2348,Q2277
Q192365,P800,Q3799231
Q98456267,P106,Q36180
Q98456267,P27,Q30
Q98456267,P69,Q154804
Q46469941,P106,Q15319501
Q46469941,P101,Q179805
Q21063616,P69,Q739627
Q21063616,P27,Q30
Q21063616,P106,Q4964182
Q113846952,P106,Q4964182
Q113846952,P27,Q38
Q93253412,P101,Q204100
Q93253412,P27,Q172579
Q93253412,P106,Q24265174
Q121907030,P27,Q36
Q121907030,P106,Q4964182
Q116855304,P101,Q132151
Q116855304,P106,Q1622272
Q116855304,P69,Q1378320
Q108815367,P106,Q4964182
Q108815367,P27,Q15180
Q108815367,P69,Q906235
Q93240200,P27,Q172579
Q93240200,P106,Q4964182
Q15460809,P27,Q414
Q15460809,P69,Q784171
Q15460809,P106,Q333634
Q23906146,P31,Q955824
Q23906146,P17,Q31
Q23906146,P131,Q239
Q23906146,P910,Q23906157
Q23906146,P112,Q23906184
Q23906146,P101,Q59115
Q88841868,P106,Q650012
Q88841868,P27,Q142
Q88841868,P69,Q273626
Q98971255,P106,Q16389557
Q69796,P27,Q43287
Q69796,P106,Q82955
Q112535446,P106,Q2306091
Q112535446,P101,Q21201
Q1807971,P27,Q30
Q1807971,P106,Q4964182
Q1807971,P69,Q21578
Q1807971,P101,Q9471
Q30896055,P69,Q3064305
Q30896055,P106,Q4964182
Q30896055,P27,Q15180
Q30896055,P101,Q5891
Q29524958,P106,Q170790
Q640808,P27,Q17
Q640808,P106,Q4964182
Q640808,P800,Q11598455
Q640808,P802,Q6561882
Q640808,P135,Q9565755
Q2939213,P106,Q1792450
Q2939213,P27,Q38
Q2939213,P69,Q645663
Q2939213,P1066,Q530698
Q2939213,P101,Q938616
Q112508770,P106,Q121594
Q112508770,P101,Q179805
Q95830258,P106,Q3658608
Q95233913,P106,Q2516866
Q95233913,P101,Q7922
Q123114720,P106,Q40348
Q17672,P106,Q3148760
Q17672,P27,Q27
Q17672,P101,Q188391
Q28112860,P69,Q21578
Q28112860,P106,Q4964182
Q28112860,P27,Q30
Q28112860,P101,Q5891
Q70874345,P27,Q34266
Q70874345,P106,Q1622272
Q70874345,P101,Q9418
Q70874345,P69,Q4402625
Q1717689,P27,Q30
Q1717689,P106,Q82955
Q1717689,P69,Q49112
Q9389633,P69,Q13164
Q9389633,P27,Q36
Q9389633,P106,Q4964182
Q9389633,P101,Q5891
Q60845257,P106,Q185351
Q42719818,P106,Q4964182
Q2090350,P27,Q262
Q2090350,P106,Q3658608
Q2090350,P69,Q23846121
Q1084253,P27,Q183
Q1084253,P106,Q1234713
Q1084253,P101,Q34178
Q3174093,P27,Q142
Q3174093,P106,Q1371378
Q112451473,P106,Q13418253
Q9140361,P106,Q593644
Q9140361,P27,Q36
Q9140361,P69,Q189441
Q9140361,P101,Q5891
Q107359005,P101,Q8134
Q107359005,P106,Q188094
Q5234466,P69,Q1179603
Q5234466,P106,Q36180
Q5234466,P27,Q30
Q5234466,P101,Q5268834
Q47542830,P106,Q201788
Q47542830,P27,Q142
Q47542830,P69,Q83259
Q47542830,P101,Q208628
Q18642466,P106,Q1234713
Q18642466,P27,Q2017684
Q104783375,P106,Q1792450
Q4165262,P106,Q4964182
Q3502976,P27,Q155
Q3502976,P106,Q1900167
Q3502976,P737,Q352465
Q3502976,P69,Q1194988
Q6320525,P106,Q4964182
Q6320525,P69,Q672420
Q6320525,P27,Q172107
Q8111573,P106,Q4964182
Q8111573,P69,Q1973040
Q8111573,P101,Q3294384
Q113761433,P106,Q4964182
Q16592025,P27,Q219
Q16592025,P106,Q36180
Q3607440,P106,Q1234713
Q43131171,P27,Q183
Q43131171,P106,Q3658608
Q43131171,P101,Q11629
Q77518,P185,Q76826
Q77518,P27,Q183
Q77518,P106,Q4964182
Q77518,P1066,Q57497
Q96761808,P106,Q3658608
Q112512804,P106,Q4964182
Q112512804,P101,Q5891
Q112621509,P27,Q36
Q112621509,P106,Q4964182
Q113831995,P27,Q183
Q113831995,P106,Q4964182
Q26333763,P106,Q13418253
Q26333763,P27,Q27306
Q113781008,P106,Q16727193
Q113781008,P27,Q219
Q93241808,P106,Q24265174
Q93241808,P27,Q38
Q9294248,P106,Q4964182
Q112507368,P106,Q121594
Q112507368,P101,Q9418
Q113728347,P106,Q4964182
Q16732533,P27,Q30
Q16732533,P69,Q131252
Q16732533,P106,Q4964182
Q16732533,P101,Q8458
Q24451647,P27,Q29
Q24451647,P106,Q4964182
Q66316,P27,Q183
Q66316,P106,Q1622272
Q66316,P69,Q50662
Q66316,P101,Q432
Q66316,P551,Q3033
Q15066356,P69,Q4204524
Q15066356,P27,Q15180
Q15066356,P106,Q901
Q15066356,P101,Q5891
Q3165262,P106,Q4964182
Q3165262,P27,Q142
Q3165262,P69,Q230492
Q3165262,P101,Q5891
Q12792057,P106,Q4964182
Q12792057,P27,Q12548
Q3052964,P27,Q142
Q3052964,P106,Q185351
Q3052964,P69,Q662976
Q3052964,P101,Q207892
Q22662597,P106,Q4964182
Q109501208,P106,Q4964182
Q109501208,P27,Q16
Q109501208,P69,Q392189
Q113735529,P106,Q4964182
Q113735529,P27,Q183
Q113832670,P101,Q165650
Q113832670,P106,Q16727193
Q113832670,P27,Q183
Q18280959,P2348,Q2277
Q18280959,P106,Q4964182
Q491778,P106,Q4964182
Q491778,P27,Q28179
Q3891586,P27,Q155
Q3891586,P106,Q4964182
Q3891586,P69,Q835960
Q3891586,P185,Q83552534
Q3891586,P101,Q5891
Q12390662,P27,Q29
Q12390662,P106,Q36180
Q12390662,P737,Q9235
Q12390662,P135,Q483024
Q59525224,P101,Q5891
Q59525224,P106,Q4964182
Q113794468,P106,Q4964182
Q113794468,P27,Q145
Q71911,P27,Q183
Q71911,P106,Q39631
Q71911,P69,Q152838
Q71911,P101,Q5891
Q71911,P1066,Q95741
Q79481705,P106,Q36180
Q79481705,P27,Q36
Q79481705,P551,Q183
Q4525688,P106,Q36180
Q59525210,P106,Q4964182
Q59525210,P101,Q5891
Q1605534,P27,Q183
Q1605534,P106,Q4964182
Q1605534,P185,Q58040215
Q6076530,P69,Q49117
Q6076530,P27,Q30
Q6076530,P106,Q36180
Q6076530,P101,Q837795
Q93947032,P106,Q82594
Q93947032,P101,Q21198
Q93947032,P69,Q372608
Q93947032,P185,Q102179109
Q93947032,P802,Q102299754
Q50368769,P27,Q34
Q50368769,P101,Q10551143
Q50368769,P106,Q16323111
Q97578006,P106,Q42973
Q97578006,P69,Q815268
Q97578006,P101,Q179232
Q98097728,P106,Q121594
Q98097728,P101,Q9598
Q12007706,P27,Q20
Q12007706,P106,Q4964182
Q60829703,P106,Q185351
Q1341731,P106,Q4964182
Q1341731,P27,Q142
Q1341731,P69,Q859363
Q1341731,P135,Q15339423
Q1341731,P101,Q1418771
Q1341731,P800,Q116052044
Q112471113,P106,Q4964182
Q15080233,P27,Q20
Q15080233,P106,Q350979
Q15080233,P69,Q206702
Q15080233,P101,Q18960
Q112475322,P106,Q4964182
Q112453818,P106,Q644687
Q93252128,P27,Q38
Q93252128,P106,Q1234713
Q113747466,P101,Q34178
Q113747466,P106,Q1234713
Q321390,P1066,Q315347
Q321390,P27,Q179876
Q321390,P106,Q170790
Q321390,P69,Q2845896
Q321390,P802,Q264028
Q3030955,P106,Q4964182
Q112496741,P106,Q121594
Q112496741,P101,Q5891
Q543937,P27,Q1206012
Q543937,P106,Q36180
Q61111385,P106,Q3658608
Q95338567,P106,Q4964182
Q122943160,P106,Q4964182
Q122943160,P101,Q179012
Q1449937,P27,Q183
Q1449937,P106,Q4964182
Q1449937,P101,Q23407
Q95330647,P106,Q201788
Q95330647,P101,Q50675
Q102123504,P69,Q152087
Q102123504,P185,Q57517628
Q102123504,P106,Q14565331
Q109409748,P27,Q38
Q109409748,P106,Q18930007
Q12109403,P69,Q85449
Q12109403,P106,Q4964182
Q95183232,P106,Q599151
Q95183232,P69,Q3563550
Q11429102,P69,Q274486
Q11429102,P106,Q4964182
Q11429102,P27,Q17
Q12756253,P106,Q4964182
Q20413029,P106,Q58968
Q20413029,P27,Q79
Q3084997,P106,Q1225716
Q3084997,P27,Q179876
Q3084997,P69,Q10323023
Q85133752,P27,Q36
Q85133752,P106,Q4964182
Q21675370,P106,Q4964182
Q21675370,P27,Q30
Q96064471,P106,Q188094
Q95905509,P106,Q169470
Q113772407,P27,Q38
Q113772407,P106,Q4964182
Q112505701,P106,Q14467526
Q112505701,P101,Q8162
Q19423856,P106,Q2917466
Q19423856,P27,Q30
Q19423856,P101,Q11030
Q113760835,P106,Q2029179
Q113760835,P27,Q40
Q12815975,P106,Q1234713
Q12815975,P27,Q28
Q12815975,P69,Q1123379
Q95289860,P106,Q4964182
Q157155,P106,Q4964182
Q157155,P27,Q142
Q157155,P1066,Q2409121
Q157155,P101,Q2142577
